Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00     24.96     0.00       26     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<long const, timer_elm_s> > >::allocator()
  0.00     24.96     0.00       26     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<long const, timer_elm_s> > >::~allocator()
  0.00     24.96     0.00       26     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::_Vector_impl::_Vector_impl()
  0.00     24.96     0.00       26     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::_Vector_impl::~_Vector_impl()
  0.00     24.96     0.00       26     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::_Vector_base()
  0.00     24.96     0.00       26     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::~_Vector_base()
  0.00     24.96     0.00       26     0.00     0.00  std::map<long, timer_elm_s, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::map()
  0.00     24.96     0.00       26     0.00     0.00  std::map<long, timer_elm_s, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::~map()
  0.00     24.96     0.00       26     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::vector()
  0.00     24.96     0.00       26     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::~vector()
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::_Rb_tree_impl<std::less<long>, true>::_M_initialize()
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::_Rb_tree_impl<std::less<long>, true>::_Rb_tree_impl()
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::_Rb_tree_impl<std::less<long>, true>::~_Rb_tree_impl()
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::_M_begin()
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::_M_erase(std::_Rb_tree_node<std::pair<long const, timer_elm_s> >*)
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::_Rb_tree()
  0.00     24.96     0.00       26     0.00     0.00  std::_Rb_tree<long, std::pair<long const, timer_elm_s>, std::_Select1st<std::pair<long const, timer_elm_s> >, std::less<long>, std::allocator<std::pair<long const, timer_elm_s> > >::~_Rb_tree()
  0.00     24.96     0.00       26     0.00     0.00  operator new(unsigned long, void*)
  0.00     24.96     0.00       24     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_Node_allocator()
  0.00     24.96     0.00       24     0.00     0.00  itti_get_events_locked
  0.00     24.96     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<MessageDef_s*>::max_size() const
  0.00     24.96     0.00       21     0.00     0.00  std::_Select1st<std::pair<int const, double> >::operator()(std::pair<int const, double> const&) const
  0.00     24.96     0.00       20     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, double> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00     24.96     0.00       20     0.00     0.00  itti_receive_msg
  0.00     24.96     0.00       19     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::end()
  0.00     24.96     0.00       18     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, double> >::operator->() const
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<MessageDef_s*>(MessageDef_s* const*, MessageDef_s* const*, MessageDef_s**)
  0.00     24.96     0.00       16     0.00     0.00  std::allocator_traits<std::allocator<MessageDef_s*> >::max_size(std::allocator<MessageDef_s*> const&)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<MessageDef_s**>, MessageDef_s**>(std::move_iterator<MessageDef_s**>, std::move_iterator<MessageDef_s**>, MessageDef_s**)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::__copy_move_a<true, MessageDef_s**, MessageDef_s**>(MessageDef_s**, MessageDef_s**, MessageDef_s**)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::__copy_move_a2<true, MessageDef_s**, MessageDef_s**>(MessageDef_s**, MessageDef_s**, MessageDef_s**)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::uninitialized_copy<std::move_iterator<MessageDef_s**>, MessageDef_s**>(std::move_iterator<MessageDef_s**>, std::move_iterator<MessageDef_s**>, MessageDef_s**)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::__uninitialized_copy_a<std::move_iterator<MessageDef_s**>, MessageDef_s**, MessageDef_s*>(std::move_iterator<MessageDef_s**>, std::move_iterator<MessageDef_s**>, MessageDef_s**, std::allocator<MessageDef_s*>&)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::__uninitialized_move_if_noexcept_a<MessageDef_s**, MessageDef_s**, std::allocator<MessageDef_s*> >(MessageDef_s**, MessageDef_s**, MessageDef_s**, std::allocator<MessageDef_s*>&)
  0.00     24.96     0.00       16     0.00     0.00  MessageDef_s** std::copy<std::move_iterator<MessageDef_s**>, MessageDef_s**>(std::move_iterator<MessageDef_s**>, std::move_iterator<MessageDef_s**>, MessageDef_s**)
  0.00     24.96     0.00       14     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIP12MessageDef_sE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.00     24.96     0.00       14     0.00     0.00  decltype ((({parm#1}.base)())-(({parm#2}.base)())) __gnu_cxx::operator-<MessageDef_s* const*, MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >(__gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&, __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&)
